{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/sand/sand118.jpeg has score 9.045
trainset/bitumin/bitumin130.jpeg has score 9.166
trainset/bitumin/bitumin115.jpeg has score 9.19
trainset/bitumin/bitumin131.jpeg has score 9.353
trainset/mixture/mixture9.jpeg has score 9.47
trainset/sand/sand120.jpeg has score 9.608
trainset/sand/sand127.jpeg has score 9.711
trainset/bitumin/bitumin134.jpeg has score 9.827
trainset/bitumin/bitumin125.jpeg has score 9.938
trainset/bitumin/bitumin117.jpeg has score 9.998
trainset/bitumin/bitumin112.jpeg has score 10.184
trainset/bitumin/bitumin124.jpeg has score 10.24
trainset/bitumin/bitumin116.jpeg has score 10.38
trainset/bitumin/bitumin114.jpeg has score 10.567
trainset/gravel/gravel132.jpeg has score 10.613
trainset/bitumin/bitumin113.jpeg has score 10.665
trainset/bitumin/bitumin126.jpeg has score 10.858
trainset/bitumin/bitumin123.jpeg has score 10.97
trainset/sand/sand119.jpeg has score 11.064
trainset/sand/sand113.jpeg has score 11.121
trainset/sand/sand117.jpeg has score 11.401
trainset/gravel/gravel133.jpeg has score 11.419
trainset/gravel/gravel131.jpeg has score 11.419
trainset/gravel/gravel135.jpeg has score 11.468
trainset/bitumin/bitumin119.jpeg has score 11.611
trainset/bitumin/bitumin121.jpeg has score 11.825
trainset/gravel/gravel124.jpeg has score 12.189
trainset/bitumin/bitumin111.jpeg has score 12.276
trainset/sand/sand112.jpeg has score 12.497
trainset/bitumin/bitumin122.jpeg has score 12.505
trainset/gravel/gravel129.jpeg has score 13.325
trainset/gravel/gravel111.jpeg has score 13.525
trainset/gravel/gravel134.jpeg has score 14.874
trainset/gravel/gravel113.jpeg has score 15.072
trainset/gravel/gravel119.jpeg has score 16.049
trainset/gravel/gravel115.jpeg has score 16.659
trainset/gravel/gravel117.jpeg has score 17.426
trainset/gravel/gravel118.jpeg has score 17.607
trainset/gravel/gravel130.jpeg has score 17.629
trainset/gravel/gravel126.jpeg has score 17.81
trainset/sand/sand3.jpeg has score 18.375
trainset/gravel/gravel116.jpeg has score 18.921
trainset/gravel/gravel112.jpeg has score 19.08
trainset/gravel/gravel136.jpeg has score 19.282
trainset/gravel/gravel125.jpeg has score 19.758
trainset/gravel/gravel122.jpeg has score 21.649
trainset/gravel/gravel123.jpeg has score 21.849
trainset/gravel/gravel121.jpeg has score 24.169
trainset/gravel/gravel127.jpeg has score 25.112
trainset/gravel/gravel128.jpeg has score 25.372
trainset/gravel/gravel120.jpeg has score 27.136
Displaying scores for queryset/testMaterial/gravelTest2.jpeg ** 

trainset/gravel/gravel134.jpeg has score 0.002
trainset/gravel/gravel116.jpeg has score 0.003
trainset/gravel/gravel118.jpeg has score 0.003
trainset/gravel/gravel115.jpeg has score 0.003
trainset/gravel/gravel129.jpeg has score 0.004
trainset/gravel/gravel135.jpeg has score 0.004
trainset/gravel/gravel119.jpeg has score 0.004
trainset/gravel/gravel113.jpeg has score 0.006
trainset/gravel/gravel133.jpeg has score 0.006
trainset/gravel/gravel131.jpeg has score 0.006
trainset/gravel/gravel111.jpeg has score 0.006
trainset/gravel/gravel132.jpeg has score 0.007
trainset/gravel/gravel112.jpeg has score 0.007
